,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalAbvGrdSF,TotalPorchSF,TotalBathrooms,HasBasement,HasGarage,HasPorch,HasPool,WasRemodeled,IsNew,WasCompleted
10,11,20,RL,4.2626798770413155,9.32375833901174,Pave,0.0,0.6931471805599453,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,1.791759469228055,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,1.3862943611198906,1.3862943611198906,CBlock,3.0,3.0,0.6931471805599453,3.0,6.810142450115136,0.6931471805599453,0.0,4.90527477843843,1040,GasA,5,Y,SBrkr,6.947937068614969,0.0,0.0,6.947937068614969,0.6931471805599453,0.0,1,0.0,3,0.6931471805599453,3,1.791759469228055,8,0.0,0.0,Detchd,1965.0,1.0,1,384,3.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missing,Missing,0.0,2,2008,WD,Normal,11.771443882099637,7.640603826393634,6.947937068614969,0.0,2.0,1,1,0,0,0,0,1
11,12,60,RL,4.454347296253507,9.386392315756542,Pave,0.0,1.0986122886681098,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,9,1.791759469228055,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,5.659482215759621,1.791759469228055,1.3862943611198906,PConc,5.0,3.0,0.6931471805599453,6.0,6.906754778648554,0.6931471805599453,0.0,5.181783550292085,1175,GasA,5,Y,SBrkr,7.075808863978387,7.04141166379481,0.0,7.751475318021456,0.6931471805599453,0.0,3,0.0,4,0.6931471805599453,5,2.4849066497880004,8,1.0986122886681098,4.0,BuiltIn,2005.0,3.0,3,736,3.0,3.0,3,4.997212273764115,3.091042453358316,0.0,0.0,0.0,0.0,0.0,Missing,Missing,0.0,7,2006,New,Partial,12.75130259456002,8.160518247477505,7.751475318021456,3.091042453358316,4.0,1,1,1,0,1,1,0
12,13,20,RL,4.276666119016055,9.470317173335742,Pave,0.0,1.3862943611198906,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,1.9459101490553132,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,1.3862943611198906,1.3862943611198906,CBlock,3.0,3.0,0.6931471805599453,5.0,6.6039438246004725,0.6931471805599453,0.0,5.170483995038151,912,GasA,3,Y,SBrkr,6.816735880594968,0.0,0.0,6.816735880594968,0.6931471805599453,0.0,1,0.0,2,0.6931471805599453,3,1.6094379124341003,8,0.0,0.0,Detchd,1962.0,1.0,1,352,3.0,3.0,3,4.948759890378168,0.0,0.0,0.0,5.176149732573829,0.0,0.0,Missing,Missing,0.0,9,2008,WD,Normal,11.87757552297847,7.509335266016592,6.816735880594968,5.176149732573829,2.0,1,1,1,0,0,0,1
13,14,20,RL,4.5217885770490405,9.273596821611198,Pave,0.0,1.0986122886681098,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,1.791759469228055,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,5.726847747587197,1.6094379124341003,1.3862943611198906,PConc,4.0,3.0,1.3862943611198906,1.0,0.0,0.6931471805599453,0.0,7.3098814858247865,1494,GasA,5,Y,SBrkr,7.3098814858247865,0.0,0.0,7.3098814858247865,0.0,0.0,2,0.0,3,0.6931471805599453,4,2.0794415416798357,8,0.6931471805599453,4.0,Attchd,2006.0,2.0,3,840,3.0,3.0,3,5.081404364984463,3.5263605246161616,0.0,0.0,0.0,0.0,0.0,Missing,Missing,0.0,8,2007,New,Partial,12.540761149388421,8.002694162283937,7.3098814858247865,3.5263605246161616,2.0,1,1,1,0,1,1,0
14,15,20,RL,4.30406509320417,9.298442820197728,Pave,0.0,1.0986122886681098,4,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,1.791759469228055,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,5.3612921657094255,1.3862943611198906,1.3862943611198906,CBlock,3.0,3.0,0.6931471805599453,4.0,6.598509028614515,0.6931471805599453,0.0,6.255750041753367,1253,GasA,3,Y,SBrkr,7.134093721192866,0.0,0.0,7.134093721192866,0.6931471805599453,0.0,1,0.6931471805599453,2,0.6931471805599453,3,1.791759469228055,8,0.6931471805599453,2.0,Attchd,1960.0,2.0,1,352,3.0,3.0,3,0.0,5.365976015021851,5.176149732573829,0.0,0.0,0.0,0.0,GdWo,Missing,0.0,5,2008,WD,Normal,11.964007453736912,7.826842098158293,7.134093721192866,5.966146739123692,2.5,1,1,1,0,0,0,1
15,16,45,RM,3.9512437185814275,8.71948076085107,Pave,0.0,0.6931471805599453,4,4,Corner,3,BrkSide,Norm,Norm,1Fam,1.5Unf,7,2.1972245773362196,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,1.3862943611198906,1.3862943611198906,BrkTil,3.0,3.0,0.6931471805599453,1.0,0.0,0.6931471805599453,0.0,6.725033642166843,832,GasA,5,Y,FuseA,6.75110146893676,0.0,0.0,6.75110146893676,0.0,0.0,1,0.0,2,0.6931471805599453,3,1.791759469228055,8,0.0,0.0,Detchd,1991.0,1.0,2,576,3.0,3.0,3,3.8918202981106265,4.727387818712341,0.0,0.0,0.0,0.0,0.0,GdPrv,Missing,0.0,7,2007,WD,Normal,11.790564777297387,7.430707082545968,6.75110146893676,4.727387818712341,1.0,1,1,1,0,1,0,1
16,17,20,RL,4.30406509320417,9.32741204356202,Pave,0.0,1.0986122886681098,4,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,6,2.0794415416798357,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,5.198497031265826,1.3862943611198906,1.3862943611198906,CBlock,3.0,3.0,0.6931471805599453,5.0,6.361302477572996,0.6931471805599453,0.0,6.056784013228625,1004,GasA,5,Y,SBrkr,6.912742820493176,0.0,0.0,6.912742820493176,0.6931471805599453,0.0,1,0.0,2,0.6931471805599453,3,1.791759469228055,8,0.6931471805599453,3.0,Attchd,1970.0,3.0,2,480,3.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missing,Shed,6.55250788703459,3,2010,WD,Normal,11.91170829631447,7.605392364814935,6.912742820493176,0.0,2.0,1,1,0,0,0,0,1
17,18,90,RL,4.290459441148391,9.286560397887591,Pave,0.0,0.6931471805599453,4,4,Inside,3,Sawyer,Norm,Norm,Duplex,1Story,4,1.791759469228055,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,1.3862943611198906,1.3862943611198906,Slab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,GasA,3,Y,SBrkr,7.167809184316444,0.0,0.0,7.167809184316444,0.0,0.0,2,0.0,2,1.0986122886681098,3,1.9459101490553132,8,0.0,0.0,CarPort,1967.0,1.0,2,516,3.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missing,Shed,6.2166061010848646,10,2006,WD,Normal,11.407576060361786,7.167809184316444,7.167809184316444,0.0,2.0,0,1,0,0,0,0,1
18,19,20,RL,4.204692619390966,9.524859098381523,Pave,0.0,0.6931471805599453,4,4,Inside,3,SawyerW,RRAe,Norm,1Fam,1Story,5,1.791759469228055,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,1.3862943611198906,1.3862943611198906,PConc,3.0,3.0,0.6931471805599453,6.0,6.472346294500901,0.6931471805599453,0.0,6.150602768446279,1114,GasA,5,Y,SBrkr,7.016609683894219,0.0,0.0,7.016609683894219,0.6931471805599453,0.0,1,0.6931471805599453,3,0.6931471805599453,4,1.9459101490553132,8,0.0,0.0,Detchd,2004.0,1.0,2,576,3.0,3.0,3,0.0,4.634728988229636,0.0,0.0,0.0,0.0,0.0,Missing,Missing,0.0,6,2008,WD,Normal,11.976665770490767,7.709308333385869,7.016609683894219,4.634728988229636,2.5,1,1,1,0,0,1,1
19,20,20,RL,4.2626798770413155,8.93075873555827,Pave,0.0,0.6931471805599453,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,1.9459101490553132,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,1.3862943611198906,1.3862943611198906,CBlock,3.0,3.0,0.6931471805599453,2.0,6.22455842927536,0.6931471805599453,0.0,6.26530121273771,1029,GasA,3,Y,SBrkr,7.200424892944957,0.0,0.0,7.200424892944957,0.0,0.0,1,0.0,3,0.6931471805599453,3,1.9459101490553132,7,0.0,0.0,Attchd,1958.0,1.0,1,294,3.0,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MnPrv,Missing,0.0,5,2009,COD,Abnorml,11.842236406331555,7.7702232041587855,7.200424892944957,0.0,1.0,1,1,0,0,1,0,1
20,21,60,RL,4.624972813284271,9.562123369834488,Pave,0.0,1.0986122886681098,4,4,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,1.791759469228055,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.942799375126701,1.6094379124341003,1.3862943611198906,PConc,5.0,3.0,1.3862943611198906,1.0,0.0,0.6931471805599453,0.0,7.055312843339752,1158,GasA,5,Y,SBrkr,7.055312843339752,7.105786129481271,0.0,7.773594467360194,0.0,0.0,3,0.6931471805599453,4,0.6931471805599453,4,2.302585092994046,8,0.6931471805599453,4.0,BuiltIn,2005.0,2.0,3,853,3.0,3.0,3,5.484796933490655,5.043425116919247,0.0,0.0,0.0,0.0,0.0,Missing,Missing,0.0,11,2006,New,Partial,12.692506186542177,8.170468578330674,7.773594467360194,5.043425116919247,3.5,1,1,1,0,1,1,0
21,22,45,RM,4.060443010546419,8.915969311373605,Pave,0.6931471805599453,0.6931471805599453,3,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,2.0794415416798357,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,1.3862943611198906,1.3862943611198906,PConc,3.0,3.0,0.6931471805599453,1.0,0.0,0.6931471805599453,0.0,6.45833828334479,637,GasA,5,Y,FuseF,7.011213987350367,0.0,0.0,7.011213987350367,0.0,0.0,1,0.0,3,0.6931471805599453,4,1.9459101490553132,8,0.6931471805599453,4.0,Attchd,1930.0,1.0,1,280,3.0,3.0,1,0.0,0.0,5.327876168789581,0.0,0.0,0.0,0.0,GdPrv,Missing,0.0,6,2007,WD,Normal,11.845109950883979,7.465082736399547,7.011213987350367,5.327876168789581,1.0,1,1,1,0,1,0,1
22,23,20,RL,4.330733340286331,9.184304357425342,Pave,0.0,0.6931471805599453,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,1.791759469228055,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,5.641907070938114,1.6094379124341003,1.3862943611198906,PConc,4.0,3.0,0.6931471805599453,1.0,0.0,0.6931471805599453,0.0,7.48324441607385,1777,GasA,5,Y,SBrkr,7.493317248862145,0.0,0.0,7.493317248862145,0.0,0.0,2,0.0,3,0.6931471805599453,4,2.0794415416798357,8,0.6931471805599453,4.0,Attchd,2002.0,2.0,2,534,3.0,3.0,3,5.147494476813453,5.075173815233827,0.0,0.0,0.0,0.0,0.0,Missing,Missing,0.0,9,2008,WD,Normal,12.345838935721968,8.181160858023409,7.493317248862145,5.075173815233827,2.0,1,1,1,0,0,1,1
23,24,120,RM,3.8066624897703196,8.348774539791274,Pave,0.0,0.6931471805599453,4,4,Inside,3,MeadowV,Norm,Norm,TwnhsE,1Story,5,2.0794415416798357,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,1.3862943611198906,1.3862943611198906,PConc,4.0,3.0,0.6931471805599453,6.0,6.734591659972948,0.6931471805599453,0.0,5.303304908059076,1040,GasA,3,Y,SBrkr,6.966967138613983,0.0,0.0,6.966967138613983,0.6931471805599453,0.0,1,0.0,3,0.6931471805599453,3,1.9459101490553132,8,0.6931471805599453,3.0,Attchd,1976.0,1.0,2,572,3.0,3.0,3,4.61512051684126,4.709530201312334,0.0,0.0,0.0,0.0,0.0,Missing,Missing,0.0,6,2007,WD,Normal,11.774527900858468,7.650168700845001,6.966967138613983,4.709530201312334,2.0,1,1,1,0,0,0,1
24,25,20,RL,4.276666119016055,9.017604776833355,Pave,0.0,1.0986122886681098,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,2.1972245773362196,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,1.3862943611198906,1.6094379124341003,CBlock,3.0,3.0,1.0986122886681098,3.0,5.241747015059643,1.791759469228055,6.505784060128229,5.3230099791384085,1060,GasA,5,Y,SBrkr,6.966967138613983,0.0,0.0,6.966967138613983,0.6931471805599453,0.0,1,0.0,3,0.6931471805599453,4,1.9459101490553132,8,0.6931471805599453,3.0,Attchd,1968.0,1.0,1,270,3.0,3.0,3,6.008813185442595,4.51085950651685,0.0,0.0,0.0,0.0,0.0,MnPrv,Missing,0.0,5,2010,WD,Normal,11.944714374881176,7.659642954564682,6.966967138613983,4.51085950651685,2.0,1,1,1,0,1,0,1
25,26,20,RL,4.709530201312334,9.56317796268366,Pave,0.0,0.6931471805599453,4,4,Corner,3,NridgHt,Norm,Norm,1Fam,1Story,8,1.791759469228055,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,6.46302945692067,1.6094379124341003,1.3862943611198906,PConc,4.0,3.0,0.6931471805599453,1.0,0.0,0.6931471805599453,0.0,7.356918242356021,1566,GasA,5,Y,SBrkr,7.3783837129967145,0.0,0.0,7.3783837129967145,0.0,0.0,2,0.0,3,0.6931471805599453,4,2.0794415416798357,8,0.6931471805599453,4.0,Attchd,2007.0,2.0,3,890,3.0,3.0,3,0.0,4.04305126783455,0.0,0.0,0.0,0.0,0.0,Missing,Missing,0.0,7,2009,WD,Normal,12.454107814022272,8.06054004653864,7.3783837129967145,4.04305126783455,2.0,1,1,1,0,0,1,1
26,27,20,RL,4.110873864173311,8.881975184248867,Pave,0.0,0.6931471805599453,4,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,5,2.0794415416798357,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,1.3862943611198906,1.3862943611198906,CBlock,3.0,3.0,1.0986122886681098,4.0,5.459585514144159,1.3862943611198906,6.18826412308259,5.198497031265826,900,GasA,3,Y,SBrkr,6.803505257608338,0.0,0.0,6.803505257608338,0.0,0.6931471805599453,1,0.0,3,0.6931471805599453,4,1.791759469228055,8,0.0,0.0,Detchd,2005.0,1.0,2,576,3.0,3.0,3,5.407171771460119,3.4965075614664802,0.0,0.0,0.0,0.0,0.0,Missing,Missing,0.0,5,2010,WD,Normal,11.811554895830454,7.496097345175956,6.803505257608338,3.4965075614664802,1.5,1,1,1,0,1,0,1
27,28,20,RL,4.59511985013459,9.348274558065496,Pave,0.0,0.6931471805599453,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,1.791759469228055,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,5.303304908059076,1.6094379124341003,1.3862943611198906,PConc,5.0,3.0,0.6931471805599453,6.0,7.105786129481271,0.6931471805599453,0.0,6.18826412308259,1704,GasA,5,Y,SBrkr,7.4413203897176174,0.0,0.0,7.4413203897176174,0.6931471805599453,0.0,2,0.0,3,0.6931471805599453,4,2.0794415416798357,8,0.6931471805599453,4.0,Attchd,2008.0,2.0,3,772,3.0,3.0,3,0.0,3.9318256327243257,0.0,0.0,0.0,0.0,0.0,Missing,Missing,0.0,5,2010,WD,Normal,12.631343648903034,8.134174272137903,7.4413203897176174,3.9318256327243257,3.0,1,1,1,0,1,1,1
28,29,20,RL,3.871201010907891,9.700269170029188,Pave,0.0,1.0986122886681098,4,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,5,1.9459101490553132,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,1.3862943611198906,1.3862943611198906,CBlock,3.0,3.0,1.6094379124341003,4.0,7.15305163493748,0.6931471805599453,0.0,5.337538079701318,1484,GasA,3,Y,SBrkr,7.3783837129967145,0.0,0.0,7.3783837129967145,0.6931471805599453,0.0,1,0.0,2,0.6931471805599453,3,1.9459101490553132,8,1.0986122886681098,4.0,Attchd,1957.0,2.0,1,319,3.0,3.0,3,5.666426688112432,5.556828061699537,0.0,0.0,0.0,0.0,0.0,Missing,Missing,0.0,12,2006,WD,Normal,12.242891437918386,8.034306936339489,7.3783837129967145,5.556828061699537,2.0,1,1,1,0,1,0,1
